id:ID,etiquetas:LABEL,cursos_llevados:string[],cursos_actuales:string[],correo:string,nombre_usuario:string,contraseña:string,beca:boolean,fecha:datetime,título:string,descripción:string,adjuntos:string[],calificación:int,status:boolean,contenido:string,likes:int,nombre:string,facultad:string,catedráticos:string[],sección:string[],tipo:string,cantidad_puntos:int,caducidad:date,fecha_lanzamiento:date,visibilidad:boolean,fecha_creación:datetime
75296541,Clase,,,,,,,,,,,,,,,User-friendly leadingedge software,non,"['Camilo Custodio Núñez Mendizábal', 'Tecla Royo Vázquez']","['12', '12']",,,,,,
88759413,Clase,,,,,,,,,,,,,,,Extended 4thgeneration throughput,neque,"['Adoración Melania Jove Vega', 'Zoraida Cuenca Salom']","['15', '3']",,,,,,
73881279,Clase,,,,,,,,,,,,,,,Up-sized grid-enabled monitoring,harum,"['Joel Ricart Carpio', 'Pancho Cazorla-Roma']","['19', '5']",,,,,,
33406311,Clase,,,,,,,,,,,,,,,Open-architected eco-centric knowledgebase,incidunt,"['Alejandra Aitana Escolano Trujillo', 'Rafaela del Avilés']","['17', '12']",,,,,,
54362895,Clase,,,,,,,,,,,,,,,Business-focused intangible algorithm,delectus,"['Pilar Yéssica Figueroa Herrera', 'Felicia Marcos Palmer']","['13', '11']",,,,,,
76712076,Clase,,,,,,,,,,,,,,,Open-source even-keeled monitoring,aperiam,"['Emperatriz Gallardo Vera', 'Inocencio Carreño Murcia']","['9', '8']",,,,,,
73103534,Clase,,,,,,,,,,,,,,,Right-sized composite product,magnam,"['Rosaura Feijoo Barragán', 'María Dolores Company Gual']","['4', '1']",,,,,,
12913049,Clase,,,,,,,,,,,,,,,Upgradable even-keeled implementation,molestiae,"['Arcelia Ferrando Cordero', 'Bonifacio Mario Parra Chacón']","['6', '16']",,,,,,
98385488,Clase,,,,,,,,,,,,,,,Persistent multimedia encryption,error,"['Gisela Abascal Osorio', 'Jesusa Andreu']","['17', '13']",,,,,,
24339688,Clase,,,,,,,,,,,,,,,Public-key zero-defect Internet solution,inventore,"['Samanta Jurado Roselló', 'Isabel del Perera']","['18', '4']",,,,,,
97809090,Clase,,,,,,,,,,,,,,,Managed disintermediate protocol,necessitatibus,"['Selena Mendoza Guardia', 'Sofía Castro-Delgado']","['9', '9']",,,,,,
75444112,Clase,,,,,,,,,,,,,,,Quality-focused empowering approach,eos,"['Berto Alcolea-Vargas', 'Cirino Bermúdez Somoza']","['15', '7']",,,,,,
88259346,Clase,,,,,,,,,,,,,,,Adaptive mobile capability,quasi,"['Begoña Pedrero Feliu', 'Melchor Cuadrado Morales']","['20', '10']",,,,,,
67409180,Clase,,,,,,,,,,,,,,,Adaptive multi-state intranet,facilis,"['Visitación Camino Cases', 'Daniel Fuente Torrens']","['16', '7']",,,,,,
32602945,Clase,,,,,,,,,,,,,,,Focused coherent hierarchy,minima,"['Cintia Cerro-Rivera', 'María Bayo Pino']","['4', '5']",,,,,,
68502624,Clase,,,,,,,,,,,,,,,Ergonomic 4thgeneration adapter,ab,"['Mateo Ángel Alsina', 'Josefa Miguel Lledó']","['3', '15']",,,,,,
85437911,Clase,,,,,,,,,,,,,,,Networked intangible circuit,enim,"['Rodrigo Ferrera-Castrillo', 'Manu del Duran']","['6', '15']",,,,,,
82366016,Clase,,,,,,,,,,,,,,,Innovative bandwidth-monitored encryption,recusandae,"['Graciela Ripoll Clavero', 'Amparo Español Ballester']","['3', '11']",,,,,,
4076586,Clase,,,,,,,,,,,,,,,Optimized logistical matrices,consequatur,"['Omar Gaya Azcona', 'Judith Alcalá']","['12', '3']",,,,,,
