id:ID,etiquetas:LABEL,cursos_llevados:string[],cursos_actuales:string[],correo:string,nombre_usuario:string,contraseña:string,beca:boolean,fecha:datetime,título:string,descripción:string,adjuntos:string[],calificación:int,status:boolean,contenido:string,likes:int,nombre:string,facultad:string,catedráticos:string[],sección:string[],tipo:string,cantidad_puntos:int,caducidad:date,fecha_lanzamiento:date,visibilidad:boolean,fecha_creación:datetime
23304287,Post,,,,,,,2025-02-01T02:28:28,Reiciendis voluptas autem eveniet sed.,Delectus sunt occaecati ratione veniam nam. Amet facere aperiam dolorem. Tempora voluptate tempora. Expedita beatae quisquam odit eum porro repellat explicabo.,"['esse.css', 'molestiae.js', 'unde.css']",5,FALSE,,,,,,,,,,,,
8259158,Post,,,,,,,2025-02-07T06:53:00,Incidunt ut quaerat.,"Enim explicabo at dolorem mollitia eius. Optio quam aliquam nulla.
Totam voluptatibus suscipit repellendus eum. Iste qui sint inventore.","['provident.webm', 'nemo.mov', 'nemo.wav']",0,FALSE,,,,,,,,,,,,
36020903,Post,,,,,,,2025-02-01T13:24:19,Magni sed ipsa vero sequi soluta.,Laudantium pariatur inventore natus debitis odio. Quibusdam sit reprehenderit voluptatem quo non nulla a. Est iste rerum ea nisi quaerat quasi. Repellat doloremque laboriosam soluta.,"['nemo.jpg', 'aliquid.mp4', 'quisquam.mp4']",0,FALSE,,,,,,,,,,,,
80596127,Post,,,,,,,2025-02-22T09:33:01,Possimus quidem labore animi.,"Eligendi a omnis. Eius ratione ducimus similique dolorem.
Illo consequatur voluptate tenetur aperiam perspiciatis. Asperiores sunt ab earum quas perspiciatis.","['temporibus.webm', 'corrupti.html', 'officia.xlsx']",5,FALSE,,,,,,,,,,,,
22221468,Post,,,,,,,2025-01-16T13:03:54,Magni eveniet veritatis ratione.,"Saepe eius doloremque enim. Asperiores aliquid ut dicta iure similique velit.
Perferendis non aliquam ipsum iusto doloribus atque recusandae. Porro deserunt iste omnis similique neque.","['eum.csv', 'soluta.webm', 'corporis.mp4']",2,FALSE,,,,,,,,,,,,
67762930,Post,,,,,,,2025-01-15T00:35:37,Quidem quibusdam aliquid fugiat.,"Pariatur quisquam ullam tempora modi odio.
Dolorum fuga porro. Illo quaerat illo quaerat consectetur fuga earum. Fugit tempore unde quos debitis odio.","['dolores.jpeg', 'ullam.mp4', 'nam.xls']",1,FALSE,,,,,,,,,,,,
43566335,Post,,,,,,,2025-01-29T06:37:28,Hic a omnis quaerat optio.,Nemo vel voluptas non sit voluptates architecto. Perferendis repellat dolorem quasi. Error atque non voluptatum error.,"['placeat.docx', 'assumenda.flac', 'nulla.gif']",1,FALSE,,,,,,,,,,,,
2129961,Post,,,,,,,2025-01-25T23:27:06,Eaque commodi consequatur tenetur incidunt soluta.,Fugiat perferendis magnam. Quisquam in unde quibusdam quam pariatur atque. Amet sunt magnam ipsa consequuntur corrupti aperiam.,"['itaque.flac', 'quia.flac', 'quos.pdf']",1,TRUE,,,,,,,,,,,,
36377480,Post,,,,,,,2025-02-25T20:35:52,Quae porro expedita ipsa.,Cumque beatae ipsam quaerat veritatis eum illo laboriosam. In animi nesciunt magnam similique quae reiciendis. Sunt voluptatum quo ducimus.,"['ab.avi', 'beatae.odp', 'voluptate.webm']",5,TRUE,,,,,,,,,,,,
22184642,Post,,,,,,,2025-01-28T09:24:17,Eligendi incidunt at.,"Ipsa placeat vel. Nemo quia sequi recusandae.
Nostrum quaerat nemo molestiae eveniet voluptatum voluptatibus. Error accusantium asperiores asperiores.","['dolore.mp3', 'beatae.flac', 'error.avi']",0,FALSE,,,,,,,,,,,,
